election,type,race,key,county,precinct,party,candidate,votes
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Green,ROBERT BARB,9
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Green,ROBERT BARB,10
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Green,ROBERT BARB,1
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Green,ROBERT BARB,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Green,ROBERT BARB,2
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Green,ROBERT BARB,1
2024-gen,statewide,us-senate,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Green,ROBERT BARB,2
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Republican,RYAN K ZINKE,233
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Republican,RYAN K ZINKE,634
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Republican,RYAN K ZINKE,687
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Republican,RYAN K ZINKE,173
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Republican,RYAN K ZINKE,122
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Republican,RYAN K ZINKE,303
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Republican,RYAN K ZINKE,239
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 08 - GRANT,BEAVERHEAD,PRECINCT 08 - GRANT,Republican,RYAN K ZINKE,57
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 09 - D.RURAL,BEAVERHEAD,PRECINCT 09 - D.RURAL,Republican,RYAN K ZINKE,343
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 12 - D.CITY,BEAVERHEAD,PRECINCT 12 - D.CITY,Republican,RYAN K ZINKE,362
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 14 - D.CITY,BEAVERHEAD,PRECINCT 14 - D.CITY,Republican,RYAN K ZINKE,311
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 17 - REICHLE,BEAVERHEAD,PRECINCT 17 - REICHLE,Republican,RYAN K ZINKE,124
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 19 - POLARIS,BEAVERHEAD,PRECINCT 19 - POLARIS,Republican,RYAN K ZINKE,112
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 20 - JACKSON,BEAVERHEAD,PRECINCT 20 - JACKSON,Republican,RYAN K ZINKE,77
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 21 - WISDOM,BEAVERHEAD,PRECINCT 21 - WISDOM,Republican,RYAN K ZINKE,113
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 23 - WISE RIVER,BEAVERHEAD,PRECINCT 23 - WISE RIVER,Republican,RYAN K ZINKE,97
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 01 - D-CITY,BEAVERHEAD,PRECINCT 01 - D-CITY,Libertarian,DENNIS HAYES,13
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 02 - D-RURAL,BEAVERHEAD,PRECINCT 02 - D-RURAL,Libertarian,DENNIS HAYES,29
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 03 - D.RURAL,BEAVERHEAD,PRECINCT 03 - D.RURAL,Libertarian,DENNIS HAYES,24
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 04 - LIMA,BEAVERHEAD,PRECINCT 04 - LIMA,Libertarian,DENNIS HAYES,7
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 05 - DELL,BEAVERHEAD,PRECINCT 05 - DELL,Libertarian,DENNIS HAYES,7
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 06 - D-CITY,BEAVERHEAD,PRECINCT 06 - D-CITY,Libertarian,DENNIS HAYES,19
2024-gen,statewide,us-house-west,BEAVERHEAD-PRECINCT 07 - D-RURAL,BEAVERHEAD,PRECINCT 07 - D-RURAL,Libertarian,DENNIS HAYES,7
